"","id_polygons","X","Y","geometry"
"1",1,-105.385007477576,39.8014747386785,c(-105.385007477576, 39.8014747386785)
"2",2,-105.375007477538,39.8014747386757,c(-105.375007477538, 39.8014747386757)
"3",3,-105.365007477542,39.8014747386786,c(-105.365007477542, 39.8014747386786)
"4",4,-105.355007477536,39.8014747386636,c(-105.355007477536, 39.8014747386636)
"5",5,-105.345007477553,39.8014747386624,c(-105.345007477553, 39.8014747386624)
"6",6,-105.335007477563,39.8014747386802,c(-105.335007477563, 39.8014747386802)
"7",7,-105.325007477538,39.8014747386782,c(-105.325007477538, 39.8014747386782)
"8",8,-105.31500747753,39.8014747386701,c(-105.31500747753, 39.8014747386701)
"9",9,-105.305007477541,39.8014747386729,c(-105.305007477541, 39.8014747386729)
"10",10,-105.295007477528,39.8014747386754,c(-105.295007477528, 39.8014747386754)
"11",11,-105.28500747758,39.8014747386713,c(-105.28500747758, 39.8014747386713)
"12",12,-105.275007477527,39.8014747386741,c(-105.275007477527, 39.8014747386741)
"13",13,-105.265007477547,39.8014747386753,c(-105.265007477547, 39.8014747386753)
"14",14,-105.255007477575,39.8014747386821,c(-105.255007477575, 39.8014747386821)
"15",15,-105.245007477534,39.8014747386827,c(-105.245007477534, 39.8014747386827)
"16",16,-105.235007477555,39.8014747386672,c(-105.235007477555, 39.8014747386672)
"17",17,-105.225007477522,39.8014747386664,c(-105.225007477522, 39.8014747386664)
"18",18,-105.215007477588,39.8014747386844,c(-105.215007477588, 39.8014747386844)
"19",19,-105.205007477531,39.801474738678,c(-105.205007477531, 39.801474738678)
"20",20,-105.195007477556,39.8014747386789,c(-105.195007477556, 39.8014747386789)
"21",21,-105.185007477526,39.8014747386627,c(-105.185007477526, 39.8014747386627)
"22",22,-105.175007477568,39.8014747386737,c(-105.175007477568, 39.8014747386737)
"23",23,-105.165007477533,39.8014747386799,c(-105.165007477533, 39.8014747386799)
"24",24,-105.155007477585,39.801474738674,c(-105.155007477585, 39.801474738674)
"25",25,-105.145007477518,39.8014747386703,c(-105.145007477518, 39.8014747386703)
"26",26,-105.135007477553,39.8014747386661,c(-105.135007477553, 39.8014747386661)
"27",27,-105.125007477539,39.8014747386666,c(-105.125007477539, 39.8014747386666)
